Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Azeri,16,200,0,16,0.0,0.16,0.08
Turkmen,16,200,2,12,0.02,0.12,0.08
Persian Gulf Islander,14,200,0,14,0.0,0.14,0.07
Kurd,11,200,1,9,0.01,0.09,0.055
Zartoshti,10,200,0,10,0.0,0.1,0.05
Mazani,9,200,0,9,0.0,0.09,0.045
Baloch,8,202,1,6,0.0099,0.0594,0.0396
Gilaki,7,198,0,7,0.0,0.0707,0.03535
Persian,7,200,1,5,0.01,0.05,0.035
Lur,6,200,0,6,0.0,0.06,0.03
Sistani,6,200,0,6,0.0,0.06,0.03
Arab,6,204,0,6,0.0,0.0588,0.02941
Total,116,2404,5,106,0.0041597337770382,0.0881863560732113,0.04825
