Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,5,204,0,5,0.0,0.049,0.02451
Persian Gulf Islander,4,200,0,4,0.0,0.04,0.02
Sistani,4,200,0,4,0.0,0.04,0.02
Mazani,2,200,0,2,0.0,0.02,0.01
Persian,1,200,0,1,0.0,0.01,0.005
Turkmen,1,200,0,1,0.0,0.01,0.005
Baloch,1,202,0,1,0.0,0.0099,0.00495
Azeri,0,200,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,18,2404,0,18,0.0,0.0149750415973377,0.007488
