Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Azeri,45,200,7,31,0.07,0.31,0.225
Turkmen,35,200,6,23,0.06,0.23,0.175
Lur,34,200,0,34,0.0,0.34,0.17
Gilaki,33,198,4,25,0.0404,0.2525,0.1667
Mazani,32,200,3,26,0.03,0.26,0.16
Kurd,31,200,3,25,0.03,0.25,0.155
Persian Gulf Islander,28,200,1,26,0.01,0.26,0.14
Sistani,28,200,1,26,0.01,0.26,0.14
Persian,27,200,2,23,0.02,0.23,0.135
Baloch,23,202,3,17,0.0297,0.1683,0.1139
Zartoshti,21,200,0,21,0.0,0.21,0.105
Arab,21,204,1,19,0.0098,0.1863,0.1029
Total,358,2404,31,296,0.0257903494176372,0.2462562396006655,0.1489
