Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Gilaki,79,198,0,79,0.0,0.798,0.399
Persian Gulf Islander,73,200,0,73,0.0,0.73,0.365
Sistani,72,200,0,72,0.0,0.72,0.36
Mazani,71,200,0,71,0.0,0.71,0.355
Baloch,71,202,0,71,0.0,0.703,0.3515
Zartoshti,69,200,0,69,0.0,0.69,0.345
Kurd,68,200,0,68,0.0,0.68,0.34
Arab,69,204,0,69,0.0,0.6765,0.3382
Azeri,65,200,0,65,0.0,0.65,0.325
Lur,63,200,1,61,0.01,0.61,0.315
Persian,63,200,0,63,0.0,0.63,0.315
Turkmen,57,200,3,51,0.03,0.51,0.285
Total,820,2404,4,812,0.0033277870216306,0.6755407653910149,0.3411
