Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Lur,7,200,0,7,0.0,0.07,0.035
Persian,5,200,0,5,0.0,0.05,0.025
Azeri,4,200,0,4,0.0,0.04,0.02
Turkmen,4,200,0,4,0.0,0.04,0.02
Gilaki,2,198,0,2,0.0,0.0202,0.0101
Arab,2,204,0,2,0.0,0.0196,0.009804
Mazani,1,200,0,1,0.0,0.01,0.005
Zartoshti,1,200,0,1,0.0,0.01,0.005
Baloch,0,202,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,200,0,0,0.0,0.0,0.0
Sistani,0,200,0,0,0.0,0.0,0.0
Total,26,2404,0,26,0.0,0.021630615640599,0.01082
