Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Baloch,9,202,4,1,0.0396,0.0099,0.04455
Persian Gulf Islander,4,200,0,4,0.0,0.04,0.02
Sistani,4,200,0,4,0.0,0.04,0.02
Arab,2,204,1,0,0.0098,0.0,0.009804
Persian,1,200,0,1,0.0,0.01,0.005
Azeri,0,200,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Mazani,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,20,2404,5,10,0.0041597337770382,0.0083194675540765,0.008319
