Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Gilaki,4,198,2,0,0.0202,0.0,0.0202
Baloch,3,202,1,1,0.0099,0.0099,0.01485
Lur,2,200,1,0,0.01,0.0,0.01
Sistani,2,200,1,0,0.01,0.0,0.01
Mazani,1,200,0,1,0.0,0.01,0.005
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,12,2404,5,2,0.0041597337770382,0.0016638935108153,0.004992
