Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,11,200,3,5,0.03,0.05,0.055
Mazani,5,200,1,3,0.01,0.03,0.025
Persian,4,200,1,2,0.01,0.02,0.02
Baloch,4,202,1,2,0.0099,0.0198,0.0198
Gilaki,3,198,1,1,0.0101,0.0101,0.01515
Lur,3,200,1,1,0.01,0.01,0.015
Sistani,2,200,1,0,0.01,0.0,0.01
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,32,2404,9,14,0.0074875207986688,0.0116472545757071,0.01331
