Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,14,200,7,0,0.07,0.0,0.07
Mazani,7,200,2,3,0.02,0.03,0.035
Baloch,7,202,3,1,0.0297,0.0099,0.03465
Persian,4,200,2,0,0.02,0.0,0.02
Zartoshti,4,200,1,2,0.01,0.02,0.02
Persian Gulf Islander,2,200,1,0,0.01,0.0,0.01
Turkmen,2,200,1,0,0.01,0.0,0.01
Arab,2,204,1,0,0.0098,0.0,0.009804
Azeri,0,200,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Total,42,2404,18,6,0.0149750415973377,0.0049916805324459,0.01747
