Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian,74,200,0,74,0.0,0.74,0.37
Turkmen,72,200,0,72,0.0,0.72,0.36
Lur,63,200,0,63,0.0,0.63,0.315
Kurd,57,200,0,57,0.0,0.57,0.285
Arab,55,204,0,55,0.0,0.5392,0.2696
Azeri,53,200,0,53,0.0,0.53,0.265
Persian Gulf Islander,47,200,0,47,0.0,0.47,0.235
Sistani,34,200,0,34,0.0,0.34,0.17
Zartoshti,30,200,0,30,0.0,0.3,0.15
Gilaki,29,198,0,29,0.0,0.2929,0.1465
Baloch,29,202,0,29,0.0,0.2871,0.1436
Mazani,26,200,0,26,0.0,0.26,0.13
Total,569,2404,0,569,0.0,0.4733777038269551,0.2367
