Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian,11,200,2,7,0.02,0.07,0.055
Turkmen,9,200,1,7,0.01,0.07,0.045
Lur,8,200,1,6,0.01,0.06,0.04
Azeri,7,200,0,7,0.0,0.07,0.035
Mazani,7,200,0,7,0.0,0.07,0.035
Gilaki,6,198,0,6,0.0,0.0606,0.0303
Persian Gulf Islander,5,200,1,3,0.01,0.03,0.025
Kurd,4,200,0,4,0.0,0.04,0.02
Sistani,3,200,0,3,0.0,0.03,0.015
Baloch,3,202,0,3,0.0,0.0297,0.01485
Arab,3,204,0,3,0.0,0.0294,0.01471
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,66,2404,5,56,0.0041597337770382,0.0465890183028286,0.02745
