Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,30,204,3,24,0.0294,0.2353,0.1471
Zartoshti,21,200,2,17,0.02,0.17,0.105
Azeri,20,200,2,16,0.02,0.16,0.1
Sistani,19,200,0,19,0.0,0.19,0.095
Gilaki,15,198,0,15,0.0,0.1515,0.07576
Persian,15,200,1,13,0.01,0.13,0.075
Persian Gulf Islander,14,200,1,12,0.01,0.12,0.07
Turkmen,13,200,0,13,0.0,0.13,0.065
Mazani,12,200,0,12,0.0,0.12,0.06
Kurd,11,200,0,11,0.0,0.11,0.055
Baloch,11,202,1,9,0.0099,0.0891,0.05446
Lur,10,200,1,8,0.01,0.08,0.05
Total,191,2404,11,169,0.0091514143094841,0.1405990016638935,0.07945
