Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian,188,200,89,10,0.89,0.1,0.94
Arab,190,204,89,12,0.8725,0.1176,0.9314
Azeri,186,200,87,12,0.87,0.12,0.93
Mazani,186,200,87,12,0.87,0.12,0.93
Persian Gulf Islander,185,200,85,15,0.85,0.15,0.925
Baloch,186,202,86,14,0.8515,0.1386,0.9208
Turkmen,184,200,85,14,0.85,0.14,0.92
Lur,183,200,83,17,0.83,0.17,0.915
Sistani,182,200,83,16,0.83,0.16,0.91
Kurd,180,200,80,20,0.8,0.2,0.9
Gilaki,175,198,79,17,0.798,0.1717,0.8838
Zartoshti,176,200,78,20,0.78,0.2,0.88
Total,2201,2404,1011,179,0.8410981697171381,0.14891846921797,0.9156
