Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,43,200,0,43,0.0,0.43,0.215
Zartoshti,40,200,0,40,0.0,0.4,0.2
Kurd,36,200,0,36,0.0,0.36,0.18
Arab,34,204,0,34,0.0,0.3333,0.1667
Mazani,26,200,0,26,0.0,0.26,0.13
Azeri,22,200,0,22,0.0,0.22,0.11
Sistani,22,200,0,22,0.0,0.22,0.11
Lur,21,200,0,21,0.0,0.21,0.105
Baloch,21,202,0,21,0.0,0.2079,0.104
Gilaki,20,198,0,20,0.0,0.202,0.101
Turkmen,18,200,0,18,0.0,0.18,0.09
Persian,17,200,0,17,0.0,0.17,0.085
Total,320,2404,0,320,0.0,0.2662229617304492,0.1331
