Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Baloch,33,202,3,27,0.0297,0.2673,0.1634
Arab,27,204,1,25,0.0098,0.2451,0.1324
Persian,26,200,2,22,0.02,0.22,0.13
Sistani,24,200,0,24,0.0,0.24,0.12
Persian Gulf Islander,23,200,2,19,0.02,0.19,0.115
Turkmen,17,200,0,17,0.0,0.17,0.085
Azeri,15,200,0,15,0.0,0.15,0.075
Mazani,14,200,1,12,0.01,0.12,0.07
Zartoshti,14,200,1,12,0.01,0.12,0.07
Kurd,13,200,0,13,0.0,0.13,0.065
Lur,13,200,0,13,0.0,0.13,0.065
Gilaki,7,198,0,7,0.0,0.0707,0.03535
Total,226,2404,10,206,0.0083194675540765,0.1713810316139767,0.09401
