Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,146,200,50,46,0.5,0.46,0.73
Gilaki,139,198,50,39,0.5051,0.3939,0.702
Lur,138,200,46,46,0.46,0.46,0.69
Kurd,137,200,46,45,0.46,0.45,0.685
Persian,123,200,34,55,0.34,0.55,0.615
Azeri,121,200,42,37,0.42,0.37,0.605
Sistani,119,200,38,43,0.38,0.43,0.595
Persian Gulf Islander,118,200,33,52,0.33,0.52,0.59
Baloch,119,202,36,47,0.3564,0.4653,0.5891
Turkmen,116,200,33,50,0.33,0.5,0.58
Zartoshti,107,200,28,51,0.28,0.51,0.535
Arab,103,204,27,49,0.2647,0.4804,0.5049
Total,1486,2404,463,560,0.3851913477537437,0.4658901830282861,0.6181
