Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Kurd,3,200,1,1,0.01,0.01,0.015
Zartoshti,3,200,0,3,0.0,0.03,0.015
Mazani,2,200,0,2,0.0,0.02,0.01
Sistani,2,200,0,2,0.0,0.02,0.01
Baloch,2,202,0,2,0.0,0.0198,0.009901
Gilaki,1,198,0,1,0.0,0.0101,0.005051
Persian,1,200,0,1,0.0,0.01,0.005
Persian Gulf Islander,1,200,0,1,0.0,0.01,0.005
Turkmen,1,200,0,1,0.0,0.01,0.005
Arab,1,204,0,1,0.0,0.0098,0.004902
Azeri,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Total,17,2404,1,15,0.0008319467554076,0.0124792013311148,0.007072
