Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian,1,195,0,1,0.0,0.0103,0.005128
Arab,1,199,0,1,0.0,0.0101,0.005025
Azeri,0,195,0,0,0.0,0.0,0.0
Baloch,0,199,0,0,0.0,0.0,0.0
Gilaki,0,193,0,0,0.0,0.0,0.0
Kurd,0,198,0,0,0.0,0.0,0.0
Lur,0,199,0,0,0.0,0.0,0.0
Mazani,0,197,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,193,0,0,0.0,0.0,0.0
Sistani,0,194,0,0,0.0,0.0,0.0
Turkmen,0,194,0,0,0.0,0.0,0.0
Zartoshti,0,199,0,0,0.0,0.0,0.0
Total,2,2355,0,2,0.0,0.0016985138004246,0.0008493
