Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,11,204,2,7,0.0196,0.0686,0.05392
Gilaki,8,198,1,6,0.0101,0.0606,0.0404
Sistani,8,200,0,8,0.0,0.08,0.04
Azeri,7,200,0,7,0.0,0.07,0.035
Persian,7,200,0,7,0.0,0.07,0.035
Turkmen,7,200,1,5,0.01,0.05,0.035
Kurd,6,200,0,6,0.0,0.06,0.03
Baloch,6,202,1,4,0.0099,0.0396,0.0297
Lur,4,200,0,4,0.0,0.04,0.02
Mazani,3,200,0,3,0.0,0.03,0.015
Persian Gulf Islander,3,200,0,3,0.0,0.03,0.015
Zartoshti,3,200,0,3,0.0,0.03,0.015
Total,73,2404,5,63,0.0041597337770382,0.0524126455906822,0.03037
