Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,66,204,11,44,0.1078,0.4314,0.3235
Lur,54,200,7,40,0.07,0.4,0.27
Zartoshti,51,200,4,43,0.04,0.43,0.255
Azeri,50,200,8,34,0.08,0.34,0.25
Persian,48,200,4,40,0.04,0.4,0.24
Gilaki,47,198,5,37,0.0505,0.3737,0.2374
Turkmen,47,200,9,29,0.09,0.29,0.235
Persian Gulf Islander,45,200,8,29,0.08,0.29,0.225
Sistani,45,200,6,33,0.06,0.33,0.225
Kurd,43,200,4,35,0.04,0.35,0.215
Baloch,40,202,6,28,0.0594,0.2772,0.198
Mazani,38,200,4,30,0.04,0.3,0.19
Total,574,2404,76,422,0.0632279534109817,0.3510815307820299,0.2388
