Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Kurd,5,200,0,5,0.0,0.05,0.025
Lur,4,200,0,4,0.0,0.04,0.02
Persian,4,200,0,4,0.0,0.04,0.02
Baloch,4,202,0,4,0.0,0.0396,0.0198
Mazani,3,200,0,3,0.0,0.03,0.015
Sistani,3,200,0,3,0.0,0.03,0.015
Arab,3,204,0,3,0.0,0.0294,0.01471
Gilaki,2,198,0,2,0.0,0.0202,0.0101
Azeri,2,200,0,2,0.0,0.02,0.01
Turkmen,2,200,0,2,0.0,0.02,0.01
Persian Gulf Islander,1,200,0,1,0.0,0.01,0.005
Zartoshti,1,200,0,1,0.0,0.01,0.005
Total,34,2404,0,34,0.0,0.0282861896838602,0.01414
