Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,46,200,6,34,0.06,0.34,0.23
Lur,44,200,5,34,0.05,0.34,0.22
Arab,44,204,6,32,0.0588,0.3137,0.2157
Gilaki,40,198,8,24,0.0808,0.2424,0.202
Persian,38,200,4,30,0.04,0.3,0.19
Azeri,37,200,3,31,0.03,0.31,0.185
Kurd,36,200,2,32,0.02,0.32,0.18
Turkmen,33,200,5,23,0.05,0.23,0.165
Sistani,26,200,2,22,0.02,0.22,0.13
Zartoshti,25,200,1,23,0.01,0.23,0.125
Baloch,22,202,1,20,0.0099,0.198,0.1089
Persian Gulf Islander,15,200,0,15,0.0,0.15,0.075
Total,406,2404,43,320,0.0357737104825291,0.2662229617304492,0.1689
