Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Gilaki,6,198,0,6,0.0,0.0606,0.0303
Turkmen,5,200,0,5,0.0,0.05,0.025
Azeri,4,200,0,4,0.0,0.04,0.02
Persian,4,200,0,4,0.0,0.04,0.02
Lur,3,200,0,3,0.0,0.03,0.015
Persian Gulf Islander,3,200,0,3,0.0,0.03,0.015
Baloch,3,202,0,3,0.0,0.0297,0.01485
Arab,2,204,0,2,0.0,0.0196,0.009804
Kurd,1,200,0,1,0.0,0.01,0.005
Mazani,1,200,0,1,0.0,0.01,0.005
Sistani,1,200,0,1,0.0,0.01,0.005
Zartoshti,1,200,0,1,0.0,0.01,0.005
Total,34,2404,0,34,0.0,0.0282861896838602,0.01414
