Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Turkmen,33,200,0,33,0.0,0.33,0.165
Arab,24,204,0,24,0.0,0.2353,0.1176
Persian,16,200,0,16,0.0,0.16,0.08
Kurd,14,200,0,14,0.0,0.14,0.07
Azeri,11,200,0,11,0.0,0.11,0.055
Lur,11,200,0,11,0.0,0.11,0.055
Persian Gulf Islander,9,200,0,9,0.0,0.09,0.045
Zartoshti,9,200,0,9,0.0,0.09,0.045
Baloch,5,202,0,5,0.0,0.0495,0.02475
Gilaki,4,198,0,4,0.0,0.0404,0.0202
Mazani,3,200,0,3,0.0,0.03,0.015
Sistani,2,200,0,2,0.0,0.02,0.01
Total,141,2404,0,141,0.0,0.1173044925124792,0.05865
