Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,3,200,0,3,0.0,0.03,0.015
Azeri,2,200,1,0,0.01,0.0,0.01
Mazani,2,200,0,2,0.0,0.02,0.01
Gilaki,1,198,0,1,0.0,0.0101,0.005051
Kurd,1,200,0,1,0.0,0.01,0.005
Lur,1,200,0,1,0.0,0.01,0.005
Persian,1,200,0,1,0.0,0.01,0.005
Persian Gulf Islander,1,200,0,1,0.0,0.01,0.005
Sistani,1,200,0,1,0.0,0.01,0.005
Baloch,1,202,0,1,0.0,0.0099,0.00495
Arab,0,204,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Total,14,2404,1,12,0.0008319467554076,0.0099833610648918,0.005824
