Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,33,200,12,9,0.12,0.09,0.165
Azeri,32,200,11,10,0.11,0.1,0.16
Persian,32,200,11,10,0.11,0.1,0.16
Arab,30,204,11,8,0.1078,0.0784,0.1471
Persian Gulf Islander,29,200,8,13,0.08,0.13,0.145
Lur,26,200,11,4,0.11,0.04,0.13
Baloch,25,202,7,11,0.0693,0.1089,0.1238
Kurd,23,200,8,7,0.08,0.07,0.115
Turkmen,22,200,9,4,0.09,0.04,0.11
Zartoshti,20,200,8,4,0.08,0.04,0.1
Mazani,17,200,3,11,0.03,0.11,0.085
Gilaki,15,198,7,1,0.0707,0.0101,0.07576
Total,304,2404,106,92,0.0881863560732113,0.0765391014975041,0.1265
