Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Turkmen,14,200,6,2,0.06,0.02,0.07
Baloch,11,202,1,9,0.0099,0.0891,0.05446
Sistani,10,200,1,8,0.01,0.08,0.05
Arab,10,204,0,10,0.0,0.098,0.04902
Mazani,9,200,0,9,0.0,0.09,0.045
Persian,6,200,2,2,0.02,0.02,0.03
Kurd,5,200,0,5,0.0,0.05,0.025
Lur,4,200,0,4,0.0,0.04,0.02
Gilaki,3,198,0,3,0.0,0.0303,0.01515
Persian Gulf Islander,3,200,0,3,0.0,0.03,0.015
Azeri,2,200,0,2,0.0,0.02,0.01
Zartoshti,1,200,0,1,0.0,0.01,0.005
Total,78,2404,10,58,0.0083194675540765,0.0482529118136439,0.03245
