Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,195,200,95,5,0.95,0.05,0.975
Persian,194,200,95,4,0.95,0.04,0.97
Mazani,193,200,93,7,0.93,0.07,0.965
Lur,191,200,91,9,0.91,0.09,0.955
Baloch,192,202,91,10,0.901,0.099,0.9505
Azeri,190,200,90,10,0.9,0.1,0.95
Sistani,189,200,89,11,0.89,0.11,0.945
Gilaki,187,198,88,11,0.8889,0.1111,0.9444
Arab,192,204,91,10,0.8922,0.098,0.9412
Turkmen,188,200,88,12,0.88,0.12,0.94
Kurd,187,200,87,13,0.87,0.13,0.935
Zartoshti,178,200,80,18,0.8,0.18,0.89
Total,2276,2404,1078,120,0.8968386023294509,0.0998336106489184,0.9468
