Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Gilaki,76,198,16,44,0.1616,0.4444,0.3838
Mazani,71,200,11,49,0.11,0.49,0.355
Kurd,69,200,14,41,0.14,0.41,0.345
Lur,68,200,14,40,0.14,0.4,0.34
Zartoshti,68,200,11,46,0.11,0.46,0.34
Persian,64,200,14,36,0.14,0.36,0.32
Azeri,59,200,9,41,0.09,0.41,0.295
Sistani,57,200,8,41,0.08,0.41,0.285
Persian Gulf Islander,47,200,6,35,0.06,0.35,0.235
Baloch,47,202,3,41,0.0297,0.4059,0.2327
Arab,45,204,8,29,0.0784,0.2843,0.2206
Turkmen,38,200,7,24,0.07,0.24,0.19
Total,709,2404,121,467,0.1006655574043261,0.3885191347753743,0.2949
