Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,23,200,2,19,0.02,0.19,0.115
Baloch,19,202,3,13,0.0297,0.1287,0.09406
Persian,15,200,0,15,0.0,0.15,0.075
Lur,14,200,0,14,0.0,0.14,0.07
Azeri,11,200,1,9,0.01,0.09,0.055
Sistani,11,200,1,9,0.01,0.09,0.055
Turkmen,11,200,1,9,0.01,0.09,0.055
Kurd,9,200,0,9,0.0,0.09,0.045
Gilaki,7,198,0,7,0.0,0.0707,0.03535
Zartoshti,7,200,0,7,0.0,0.07,0.035
Mazani,6,200,1,4,0.01,0.04,0.03
Arab,4,204,0,4,0.0,0.0392,0.01961
Total,137,2404,9,119,0.0074875207986688,0.0990016638935108,0.05699
