Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,28,204,1,26,0.0098,0.2549,0.1373
Zartoshti,20,200,1,18,0.01,0.18,0.1
Sistani,19,200,0,19,0.0,0.19,0.095
Azeri,18,200,0,18,0.0,0.18,0.09
Gilaki,15,198,0,15,0.0,0.1515,0.07576
Persian,15,200,1,13,0.01,0.13,0.075
Persian Gulf Islander,13,200,0,13,0.0,0.13,0.065
Turkmen,13,200,0,13,0.0,0.13,0.065
Mazani,12,200,0,12,0.0,0.12,0.06
Kurd,11,200,0,11,0.0,0.11,0.055
Lur,11,200,0,11,0.0,0.11,0.055
Baloch,11,202,1,9,0.0099,0.0891,0.05446
Total,186,2404,4,178,0.0033277870216306,0.1480865224625624,0.07737
