Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Turkmen,40,200,3,34,0.03,0.34,0.2
Zartoshti,34,200,1,32,0.01,0.32,0.17
Sistani,29,200,2,25,0.02,0.25,0.145
Baloch,28,202,3,22,0.0297,0.2178,0.1386
Persian Gulf Islander,25,200,0,25,0.0,0.25,0.125
Arab,25,204,2,21,0.0196,0.2059,0.1225
Mazani,23,200,0,23,0.0,0.23,0.115
Gilaki,22,198,0,22,0.0,0.2222,0.1111
Kurd,20,200,0,20,0.0,0.2,0.1
Persian,17,200,1,15,0.01,0.15,0.085
Azeri,15,200,2,11,0.02,0.11,0.075
Lur,13,200,0,13,0.0,0.13,0.065
Total,291,2404,14,263,0.0116472545757071,0.2188019966722129,0.121
