Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Lur,176,200,77,22,0.77,0.22,0.88
Mazani,176,200,76,24,0.76,0.24,0.88
Kurd,171,200,71,29,0.71,0.29,0.855
Gilaki,169,198,73,23,0.7374,0.2323,0.8535
Persian,167,200,72,23,0.72,0.23,0.835
Azeri,162,200,67,28,0.67,0.28,0.81
Turkmen,160,200,65,30,0.65,0.3,0.8
Persian Gulf Islander,156,200,62,32,0.62,0.32,0.78
Baloch,156,202,61,34,0.604,0.3366,0.7723
Sistani,154,200,60,34,0.6,0.34,0.77
Zartoshti,149,200,56,37,0.56,0.37,0.745
Arab,149,204,54,41,0.5294,0.402,0.7304
Total,1945,2404,794,357,0.6605657237936772,0.2970049916805324,0.8091
