Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,52,200,5,42,0.05,0.42,0.26
Azeri,51,200,6,39,0.06,0.39,0.255
Kurd,47,200,1,45,0.01,0.45,0.235
Mazani,43,200,3,37,0.03,0.37,0.215
Zartoshti,43,200,1,41,0.01,0.41,0.215
Arab,42,204,4,34,0.0392,0.3333,0.2059
Lur,39,200,4,31,0.04,0.31,0.195
Persian,38,200,1,36,0.01,0.36,0.19
Baloch,37,202,4,29,0.0396,0.2871,0.1832
Sistani,36,200,1,34,0.01,0.34,0.18
Turkmen,33,200,1,31,0.01,0.31,0.165
Gilaki,32,198,5,22,0.0505,0.2222,0.1616
Total,493,2404,36,421,0.0299500831946755,0.3502495840266223,0.2051
