Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,5,200,1,3,0.01,0.03,0.025
Persian Gulf Islander,4,200,2,0,0.02,0.0,0.02
Baloch,4,202,1,2,0.0099,0.0198,0.0198
Azeri,2,200,1,0,0.01,0.0,0.01
Arab,2,204,1,0,0.0098,0.0,0.009804
Lur,1,200,0,1,0.0,0.01,0.005
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Sistani,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,18,2404,6,6,0.0049916805324459,0.0049916805324459,0.007488
