Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,21,200,7,7,0.07,0.07,0.105
Zartoshti,14,200,5,4,0.05,0.04,0.07
Baloch,12,202,4,4,0.0396,0.0396,0.05941
Arab,12,204,5,2,0.049,0.0196,0.05882
Sistani,8,200,2,4,0.02,0.04,0.04
Kurd,5,200,1,3,0.01,0.03,0.025
Gilaki,4,198,2,0,0.0202,0.0,0.0202
Mazani,4,200,2,0,0.02,0.0,0.02
Persian,4,200,2,0,0.02,0.0,0.02
Lur,3,200,1,1,0.01,0.01,0.015
Turkmen,3,200,1,1,0.01,0.01,0.015
Azeri,1,200,0,1,0.0,0.01,0.005
Total,91,2404,32,27,0.0266222961730449,0.0224625623960066,0.03785
