Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,55,204,6,43,0.0588,0.4216,0.2696
Persian Gulf Islander,53,200,6,41,0.06,0.41,0.265
Baloch,53,202,11,31,0.1089,0.3069,0.2624
Lur,51,200,5,41,0.05,0.41,0.255
Kurd,48,200,7,34,0.07,0.34,0.24
Persian,47,200,5,37,0.05,0.37,0.235
Gilaki,46,198,4,38,0.0404,0.3838,0.2323
Sistani,43,200,6,31,0.06,0.31,0.215
Zartoshti,42,200,5,32,0.05,0.32,0.21
Azeri,40,200,4,32,0.04,0.32,0.2
Mazani,40,200,5,30,0.05,0.3,0.2
Turkmen,32,200,8,16,0.08,0.16,0.16
Total,550,2404,72,406,0.059900166389351,0.3377703826955074,0.2288
