Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,148,200,54,40,0.54,0.4,0.74
Baloch,148,202,56,36,0.5545,0.3564,0.7327
Persian Gulf Islander,146,200,57,32,0.57,0.32,0.73
Lur,143,200,53,37,0.53,0.37,0.715
Gilaki,141,198,55,31,0.5556,0.3131,0.7121
Kurd,142,200,49,44,0.49,0.44,0.71
Mazani,140,200,51,38,0.51,0.38,0.7
Persian,140,200,49,42,0.49,0.42,0.7
Zartoshti,137,200,50,37,0.5,0.37,0.685
Azeri,135,200,49,37,0.49,0.37,0.675
Arab,135,204,43,49,0.4216,0.4804,0.6618
Turkmen,130,200,43,44,0.43,0.44,0.65
Total,1685,2404,609,467,0.5066555740432612,0.3885191347753743,0.7009
