Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,44,204,7,30,0.0686,0.2941,0.2157
Zartoshti,36,200,5,26,0.05,0.26,0.18
Persian Gulf Islander,35,200,4,27,0.04,0.27,0.175
Sistani,32,200,0,32,0.0,0.32,0.16
Gilaki,31,198,1,29,0.0101,0.2929,0.1566
Baloch,30,202,5,20,0.0495,0.198,0.1485
Azeri,26,200,2,22,0.02,0.22,0.13
Kurd,24,200,0,24,0.0,0.24,0.12
Persian,23,200,2,19,0.02,0.19,0.115
Lur,21,200,1,19,0.01,0.19,0.105
Mazani,21,200,1,19,0.01,0.19,0.105
Turkmen,19,200,1,17,0.01,0.17,0.095
Total,342,2404,29,284,0.0241264559068219,0.2362728785357737,0.1423
