Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,18,193,3,12,0.0311,0.1244,0.09326
Persian Gulf Islander,14,185,4,6,0.0432,0.0649,0.07568
Persian,10,198,5,0,0.0505,0.0,0.05051
Mazani,8,191,3,2,0.0314,0.0209,0.04188
Sistani,8,193,3,2,0.0311,0.0207,0.04145
Arab,7,196,3,1,0.0306,0.0102,0.03571
Turkmen,5,199,1,3,0.0101,0.0302,0.02513
Baloch,4,190,2,0,0.0211,0.0,0.02105
Kurd,3,192,1,1,0.0104,0.0104,0.01562
Azeri,3,194,1,1,0.0103,0.0103,0.01546
Gilaki,2,198,1,0,0.0101,0.0,0.0101
Lur,0,197,0,0,0.0,0.0,0.0
Total,82,2326,27,28,0.0232158211521926,0.0240756663800515,0.03525
