Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Turkmen,10,200,0,10,0.0,0.1,0.05
Baloch,10,202,1,8,0.0099,0.0792,0.0495
Arab,8,204,0,8,0.0,0.0784,0.03922
Azeri,6,200,0,6,0.0,0.06,0.03
Kurd,5,200,0,5,0.0,0.05,0.025
Persian Gulf Islander,4,200,0,4,0.0,0.04,0.02
Sistani,4,200,1,2,0.01,0.02,0.02
Gilaki,3,198,0,3,0.0,0.0303,0.01515
Mazani,3,200,0,3,0.0,0.03,0.015
Lur,2,200,0,2,0.0,0.02,0.01
Persian,1,200,0,1,0.0,0.01,0.005
Zartoshti,1,200,0,1,0.0,0.01,0.005
Total,57,2404,2,53,0.0016638935108153,0.0440931780366056,0.02371
