Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Lur,7,200,0,7,0.0,0.07,0.035
Azeri,6,200,0,6,0.0,0.06,0.03
Persian,5,200,0,5,0.0,0.05,0.025
Turkmen,4,200,0,4,0.0,0.04,0.02
Kurd,3,200,0,3,0.0,0.03,0.015
Mazani,1,200,0,1,0.0,0.01,0.005
Persian Gulf Islander,1,200,0,1,0.0,0.01,0.005
Baloch,1,202,0,1,0.0,0.0099,0.00495
Arab,1,204,0,1,0.0,0.0098,0.004902
Gilaki,0,198,0,0,0.0,0.0,0.0
Sistani,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,29,2404,0,29,0.0,0.0241264559068219,0.01206
