Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Kurd,46,200,0,46,0.0,0.46,0.23
Gilaki,45,198,2,41,0.0202,0.4141,0.2273
Zartoshti,44,200,3,38,0.03,0.38,0.22
Lur,40,200,0,40,0.0,0.4,0.2
Mazani,39,200,0,39,0.0,0.39,0.195
Persian,38,200,0,38,0.0,0.38,0.19
Azeri,33,200,0,33,0.0,0.33,0.165
Turkmen,31,200,2,27,0.02,0.27,0.155
Sistani,28,200,0,28,0.0,0.28,0.14
Baloch,27,202,0,27,0.0,0.2673,0.1337
Persian Gulf Islander,23,200,0,23,0.0,0.23,0.115
Arab,18,204,0,18,0.0,0.1765,0.08824
Total,412,2404,7,398,0.0058236272878535,0.3311148086522462,0.1714
