Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Lur,152,200,56,40,0.56,0.4,0.76
Kurd,144,200,48,48,0.48,0.48,0.72
Mazani,143,200,50,43,0.5,0.43,0.715
Gilaki,141,198,49,43,0.4949,0.4343,0.7121
Persian,141,200,51,39,0.51,0.39,0.705
Azeri,135,200,46,43,0.46,0.43,0.675
Sistani,132,200,45,42,0.45,0.42,0.66
Zartoshti,129,200,43,43,0.43,0.43,0.645
Turkmen,128,200,46,36,0.46,0.36,0.64
Persian Gulf Islander,124,200,40,44,0.4,0.44,0.62
Baloch,125,202,41,43,0.4059,0.4257,0.6188
Arab,125,204,41,43,0.402,0.4216,0.6127
Total,1619,2404,556,507,0.4625623960066555,0.4217970049916805,0.6735
