Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Arab,31,204,4,23,0.0392,0.2255,0.152
Azeri,21,200,3,15,0.03,0.15,0.105
Zartoshti,21,200,2,17,0.02,0.17,0.105
Sistani,20,200,1,18,0.01,0.18,0.1
Persian,15,200,1,13,0.01,0.13,0.075
Gilaki,13,198,0,13,0.0,0.1313,0.06566
Persian Gulf Islander,13,200,0,13,0.0,0.13,0.065
Turkmen,13,200,1,11,0.01,0.11,0.065
Lur,12,200,1,10,0.01,0.1,0.06
Mazani,12,200,0,12,0.0,0.12,0.06
Kurd,11,200,0,11,0.0,0.11,0.055
Baloch,11,202,1,9,0.0099,0.0891,0.05446
Total,193,2404,14,165,0.0116472545757071,0.1372712146422628,0.08028
