Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,41,200,17,7,0.17,0.07,0.205
Baloch,40,202,15,10,0.1485,0.099,0.198
Mazani,32,200,13,6,0.13,0.06,0.16
Sistani,28,200,12,4,0.12,0.04,0.14
Persian Gulf Islander,20,200,7,6,0.07,0.06,0.1
Persian,19,200,8,3,0.08,0.03,0.095
Kurd,17,200,8,1,0.08,0.01,0.085
Gilaki,14,198,6,2,0.0606,0.0202,0.07071
Lur,14,200,5,4,0.05,0.04,0.07
Arab,10,204,4,2,0.0392,0.0196,0.04902
Azeri,7,200,2,3,0.02,0.03,0.035
Turkmen,7,200,3,1,0.03,0.01,0.035
Total,249,2404,100,49,0.0831946755407653,0.040765391014975,0.1036
