Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,174,200,87,0,0.87,0.0,0.87
Sistani,166,200,83,0,0.83,0.0,0.83
Kurd,160,200,80,0,0.8,0.0,0.8
Baloch,153,202,76,1,0.7525,0.0099,0.7574
Arab,154,204,77,0,0.7549,0.0,0.7549
Persian Gulf Islander,149,200,74,1,0.74,0.01,0.745
Mazani,145,200,72,1,0.72,0.01,0.725
Azeri,132,200,66,0,0.66,0.0,0.66
Lur,108,200,54,0,0.54,0.0,0.54
Persian,88,200,44,0,0.44,0.0,0.44
Gilaki,75,198,37,1,0.3737,0.0101,0.3788
Turkmen,74,200,37,0,0.37,0.0,0.37
Total,1578,2404,787,4,0.6547420965058236,0.0033277870216306,0.6564
