Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Lur,10,200,0,10,0.0,0.1,0.05
Gilaki,9,198,0,9,0.0,0.0909,0.04545
Turkmen,9,200,0,9,0.0,0.09,0.045
Kurd,8,200,0,8,0.0,0.08,0.04
Mazani,6,200,0,6,0.0,0.06,0.03
Azeri,5,200,0,5,0.0,0.05,0.025
Persian,5,200,0,5,0.0,0.05,0.025
Sistani,4,200,0,4,0.0,0.04,0.02
Baloch,4,202,0,4,0.0,0.0396,0.0198
Persian Gulf Islander,2,200,0,2,0.0,0.02,0.01
Arab,2,204,0,2,0.0,0.0196,0.009804
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,64,2404,0,64,0.0,0.0532445923460898,0.02662
