Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,194,200,97,0,0.97,0.0,0.97
Mazani,184,200,91,2,0.91,0.02,0.92
Baloch,179,202,88,3,0.8713,0.0297,0.8861
Persian Gulf Islander,176,200,85,6,0.85,0.06,0.88
Gilaki,162,198,81,0,0.8182,0.0,0.8182
Azeri,152,200,76,0,0.76,0.0,0.76
Sistani,146,200,73,0,0.73,0.0,0.73
Arab,142,204,71,0,0.6961,0.0,0.6961
Kurd,136,200,68,0,0.68,0.0,0.68
Turkmen,134,200,67,0,0.67,0.0,0.67
Lur,126,200,63,0,0.63,0.0,0.63
Persian,102,200,51,0,0.51,0.0,0.51
Total,1833,2404,911,11,0.7579034941763727,0.0091514143094841,0.7625
