Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Azeri,87,200,19,49,0.19,0.49,0.435
Kurd,86,200,16,54,0.16,0.54,0.43
Mazani,83,200,26,31,0.26,0.31,0.415
Persian Gulf Islander,79,200,13,53,0.13,0.53,0.395
Arab,77,204,21,35,0.2059,0.3431,0.3775
Persian,74,200,15,44,0.15,0.44,0.37
Lur,73,200,18,37,0.18,0.37,0.365
Gilaki,68,198,15,38,0.1515,0.3838,0.3434
Turkmen,63,200,11,41,0.11,0.41,0.315
Sistani,58,200,10,38,0.1,0.38,0.29
Zartoshti,54,200,10,34,0.1,0.34,0.27
Baloch,51,202,6,39,0.0594,0.3861,0.2525
Total,853,2404,180,493,0.1497504159733777,0.4101497504159734,0.3548
