Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,4,200,2,0,0.02,0.0,0.02
Azeri,3,200,1,1,0.01,0.01,0.015
Gilaki,2,198,1,0,0.0101,0.0,0.0101
Sistani,2,199,1,0,0.0101,0.0,0.01005
Zartoshti,2,200,1,0,0.01,0.0,0.01
Turkmen,1,200,0,1,0.0,0.01,0.005
Arab,0,204,0,0,0.0,0.0,0.0
Baloch,0,202,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,200,0,0,0.0,0.0,0.0
Total,14,2403,6,2,0.0049937578027465,0.0016645859342488,0.005826
