Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Baloch,19,202,7,5,0.0693,0.0495,0.09406
Zartoshti,16,200,8,0,0.08,0.0,0.08
Mazani,12,200,6,0,0.06,0.0,0.06
Sistani,10,200,5,0,0.05,0.0,0.05
Azeri,8,200,4,0,0.04,0.0,0.04
Gilaki,4,198,2,0,0.0202,0.0,0.0202
Persian,4,200,2,0,0.02,0.0,0.02
Turkmen,4,200,2,0,0.02,0.0,0.02
Arab,4,204,2,0,0.0196,0.0,0.01961
Persian Gulf Islander,3,200,1,1,0.01,0.01,0.015
Kurd,2,200,0,2,0.0,0.02,0.01
Lur,2,200,1,0,0.01,0.0,0.01
Total,88,2404,40,8,0.0332778702163061,0.0066555740432612,0.03661
