Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,5,200,0,5,0.0,0.05,0.025
Turkmen,4,200,0,4,0.0,0.04,0.02
Gilaki,3,198,0,3,0.0,0.0303,0.01515
Azeri,3,200,0,3,0.0,0.03,0.015
Persian Gulf Islander,3,200,0,3,0.0,0.03,0.015
Arab,3,204,0,3,0.0,0.0294,0.01471
Lur,1,200,0,1,0.0,0.01,0.005
Persian,1,200,0,1,0.0,0.01,0.005
Baloch,1,202,0,1,0.0,0.0099,0.00495
Kurd,0,200,0,0,0.0,0.0,0.0
Sistani,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,24,2404,0,24,0.0,0.0199667221297836,0.009983
