Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Turkmen,7,200,3,1,0.03,0.01,0.035
Mazani,6,200,3,0,0.03,0.0,0.03
Persian Gulf Islander,6,200,3,0,0.03,0.0,0.03
Zartoshti,6,200,3,0,0.03,0.0,0.03
Sistani,4,200,2,0,0.02,0.0,0.02
Gilaki,2,198,1,0,0.0101,0.0,0.0101
Lur,2,200,1,0,0.01,0.0,0.01
Persian,2,200,1,0,0.01,0.0,0.01
Baloch,2,202,1,0,0.0099,0.0,0.009901
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Total,37,2404,18,1,0.0149750415973377,0.0008319467554076,0.01539
