Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,8,200,4,0,0.04,0.0,0.04
Mazani,5,200,2,1,0.02,0.01,0.025
Azeri,3,200,1,1,0.01,0.01,0.015
Turkmen,3,200,1,1,0.01,0.01,0.015
Sistani,2,200,1,0,0.01,0.0,0.01
Zartoshti,2,200,1,0,0.01,0.0,0.01
Arab,2,204,1,0,0.0098,0.0,0.009804
Baloch,0,202,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Total,25,2404,11,3,0.0091514143094841,0.0024958402662229,0.0104
