Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Turkmen,8,200,4,0,0.04,0.0,0.04
Sistani,4,200,2,0,0.02,0.0,0.02
Kurd,2,200,1,0,0.01,0.0,0.01
Mazani,2,200,1,0,0.01,0.0,0.01
Persian Gulf Islander,2,200,1,0,0.01,0.0,0.01
Zartoshti,2,200,1,0,0.01,0.0,0.01
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Baloch,0,202,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Total,20,2404,10,0,0.0083194675540765,0.0,0.008319
