Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,8,200,4,0,0.04,0.0,0.04
Zartoshti,6,200,3,0,0.03,0.0,0.03
Mazani,4,200,2,0,0.02,0.0,0.02
Baloch,4,202,2,0,0.0198,0.0,0.0198
Azeri,2,200,1,0,0.01,0.0,0.01
Arab,0,204,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Total,24,2404,12,0,0.0099833610648918,0.0,0.009983
