Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,71,200,34,3,0.34,0.03,0.355
Mazani,59,200,28,3,0.28,0.03,0.295
Baloch,54,202,26,2,0.2574,0.0198,0.2673
Kurd,46,200,22,2,0.22,0.02,0.23
Persian Gulf Islander,46,200,23,0,0.23,0.0,0.23
Sistani,45,200,22,1,0.22,0.01,0.225
Gilaki,37,198,18,1,0.1818,0.0101,0.1869
Azeri,34,200,17,0,0.17,0.0,0.17
Turkmen,26,200,13,0,0.13,0.0,0.13
Arab,16,204,8,0,0.0784,0.0,0.07843
Persian,15,200,7,1,0.07,0.01,0.075
Lur,12,200,6,0,0.06,0.0,0.06
Total,461,2404,224,13,0.1863560732113144,0.0108153078202995,0.1918
