Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,16,200,8,0,0.08,0.0,0.08
Azeri,6,200,3,0,0.03,0.0,0.03
Persian Gulf Islander,6,200,3,0,0.03,0.0,0.03
Turkmen,6,200,3,0,0.03,0.0,0.03
Zartoshti,6,200,3,0,0.03,0.0,0.03
Lur,4,200,2,0,0.02,0.0,0.02
Mazani,4,200,2,0,0.02,0.0,0.02
Kurd,2,200,1,0,0.01,0.0,0.01
Persian,2,200,1,0,0.01,0.0,0.01
Arab,2,204,1,0,0.0098,0.0,0.009804
Baloch,0,202,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Total,54,2404,27,0,0.0224625623960066,0.0,0.02246
