Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,167,200,71,25,0.71,0.25,0.835
Persian Gulf Islander,163,200,69,25,0.69,0.25,0.815
Turkmen,162,200,66,30,0.66,0.3,0.81
Mazani,160,200,62,36,0.62,0.36,0.8
Kurd,159,200,62,35,0.62,0.35,0.795
Arab,161,204,65,31,0.6373,0.3039,0.7892
Gilaki,155,198,58,39,0.5859,0.3939,0.7828
Azeri,156,200,63,30,0.63,0.3,0.78
Lur,154,200,60,34,0.6,0.34,0.77
Persian,154,200,58,38,0.58,0.38,0.77
Sistani,152,200,57,38,0.57,0.38,0.76
Baloch,145,202,51,43,0.505,0.4257,0.7178
Total,1888,2404,742,404,0.6173044925124792,0.3361064891846921,0.7854
