Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,164,200,67,30,0.67,0.3,0.82
Turkmen,161,200,65,31,0.65,0.31,0.805
Kurd,159,200,62,35,0.62,0.35,0.795
Arab,160,204,65,30,0.6373,0.2941,0.7843
Mazani,155,200,58,39,0.58,0.39,0.775
Azeri,154,200,62,30,0.62,0.3,0.77
Persian,153,200,57,39,0.57,0.39,0.765
Lur,151,200,58,35,0.58,0.35,0.755
Persian Gulf Islander,151,200,60,31,0.6,0.31,0.755
Gilaki,148,198,52,44,0.5253,0.4444,0.7475
Sistani,149,200,54,41,0.54,0.41,0.745
Baloch,144,202,50,44,0.495,0.4356,0.7129
Total,1849,2404,710,429,0.5906821963394343,0.3569051580698835,0.7691
