Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,32,200,12,8,0.12,0.08,0.16
Mazani,11,200,3,5,0.03,0.05,0.055
Sistani,9,200,4,1,0.04,0.01,0.045
Turkmen,9,200,4,1,0.04,0.01,0.045
Gilaki,6,198,3,0,0.0303,0.0,0.0303
Azeri,5,200,1,3,0.01,0.03,0.025
Kurd,5,200,2,1,0.02,0.01,0.025
Baloch,4,202,2,0,0.0198,0.0,0.0198
Persian Gulf Islander,3,200,0,3,0.0,0.03,0.015
Arab,3,204,1,1,0.0098,0.0098,0.01471
Persian,2,200,0,2,0.0,0.02,0.01
Lur,1,200,0,1,0.0,0.01,0.005
Total,90,2404,32,26,0.0266222961730449,0.021630615640599,0.03744
