Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,78,200,38,2,0.38,0.02,0.39
Persian Gulf Islander,60,200,28,4,0.28,0.04,0.3
Mazani,56,200,27,2,0.27,0.02,0.28
Baloch,41,202,19,3,0.1881,0.0297,0.203
Sistani,26,200,12,2,0.12,0.02,0.13
Arab,21,204,10,1,0.098,0.0098,0.1029
Gilaki,20,198,10,0,0.101,0.0,0.101
Azeri,16,200,8,0,0.08,0.0,0.08
Turkmen,16,200,8,0,0.08,0.0,0.08
Lur,15,200,7,1,0.07,0.01,0.075
Kurd,8,200,4,0,0.04,0.0,0.04
Persian,6,200,3,0,0.03,0.0,0.03
Total,363,2404,174,15,0.1447587354409318,0.0124792013311148,0.151
