Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,64,200,10,44,0.1,0.44,0.32
Arab,44,204,6,32,0.0588,0.3137,0.2157
Turkmen,41,200,4,33,0.04,0.33,0.205
Azeri,39,200,5,29,0.05,0.29,0.195
Sistani,39,200,5,29,0.05,0.29,0.195
Baloch,39,202,3,33,0.0297,0.3267,0.1931
Persian,37,200,3,31,0.03,0.31,0.185
Mazani,34,200,4,26,0.04,0.26,0.17
Persian Gulf Islander,30,200,4,22,0.04,0.22,0.15
Lur,28,200,2,24,0.02,0.24,0.14
Gilaki,26,198,0,26,0.0,0.2626,0.1313
Kurd,25,200,3,19,0.03,0.19,0.125
Total,446,2404,49,348,0.040765391014975,0.2895174708818636,0.1855
